的	[GB2312,,rqyy,dí_dì_de,(1)]
一	[GB2312,,ggll,yī,(2)]
是	[GB2312,,jghu,shì,(3)]
在	[GB2312,,dhfd,zài,(4)]
不	[GB2312,,dhi,bù_fǒu,(5)]
了	[GB2312,,bnh,liǎo_le,(6)]
有	[GB2312,,def,yǒu_yòu,(7)]
和	[GB2312,,tkg,hé_hè_huó_huò_hú,(8)]
人	[GB2312,,wwww,rén,(9)]
这	[GB2312,,ypi,zhè_zhèi,(10)]
中	[GB2312,,khk,zhōng_zhòng,(11)]



㣇	[GBK,,xrmh,nǐ_yì,(22216)]
㣈	[GBK,,xrmh,sì,(22217)]
㣉	[GBK,,aet,(22218)]
㣊	[GBK,,ter,(22219)]
㣋	[GBK,,fjye,(22220)]
㣌	[GBK,,hket,shàn,(22221)]
㣍	[GBK,,cket,tái,(22222)]
㣎	[GBK,,rier,mù,(22223)]
㣏	[GBK,,djet,jìng,(22224)]
㣐	[GBK,,riet,biàn,(22225)]
㣑	[GBK,,ovee,róng,(22226)]
㣒	[GBK,,ulje,cèng,(22227)]
㣓	[GBK,,hqce,càn,(22228)]
㣔	[GBK,,tsh,(22229)]
㣕	[GBK,,tdy,(22230)]
㣖	[GBK,,tdyy,(22231)]
㣗	[GBK,,tynt,(22232)]
㣘	[GBK,,tqkg,(22233)]
㣙	[GBK,,tmg,dí,(22234)]
